FBXL18
LAMA3
ZSCAN26
SLC22A9
LXN
TLE1
USP18
IQCJ
SLC17A6
SLC26A8
NR2F2
DSP
SHANK2
LAMP5
C14orf132
CYP26B1
CRIP3
CUX1
PPP1R1B
KIAA0753
GALNT18
EPCAM
RAD54L
ADIPOR1
LINC00643
ARL9
FAM220A
AKAP7
TYRP1
TPTE2P1
CFAP206
CDH12
APOC1
KNDC1
BDKRB2
SAPCD2
KIAA1257
ULK1
CALHM6
FAM172A
GCFC2
ATP6V0A4
CNTN5
RASGEF1B
ITFG2
ACKR1
TRPC4
HYLS1
AIFM2
PAX8
MET
EIF2D
FAAH2
MIEF2
ZNF845
NRG2
DHX58
DNAJC21
IL1B
DENND2A
SPIDR
LINGO2
COL27A1
CFAP61
L3MBTL3
DSTYK
BCL7A
TMEM267
ZNF154
SLFN11
DENND1C
PCDH7
FHL5
FYN
CPLX2
CEBPD
IRF2BP1
SH3GL2
AUNIP
MKNK1
TLL1
COX19
MALL
SEC14L1
C16orf70
IL17RA
HTR1A
SMDT1
FBXO27
CUX2
MFSD13A
C1QL2
WDR97
SLC22A10
PQLC3
REV3L
SIPA1L1
COL5A1
CAVIN3
RGS8
NMT2
FAM19A5
RNF149
CELSR2
MTSS1L
LRP2BP
DMPK
YWHAZ
ABCG1
B4GALT5
NR2F1
ZNF362
KBTBD6
CENPJ
SLC29A3
BRINP2
APBA1
GSG1L
STIM1
EIF2AK4
ANKRD49
SLC15A3
CA12
MYO7A
VPS45
FCHSD2
PTPRJ
NR0B1
RASIP1
ARSF
TRIM41
ZSCAN2
ISG15
DGCR9
PDZD4
PDE1B
BLOC1S3
EGFL6
RGS14
MOB3A
VASH1
HSCB
CCDC177
ITPKC
RMI2
GLT8D2
ZNF876P
HOPX
MSL3
MED8
ZNF425
TXLNB
HIC2
RCC1
SYNPO
ZNF503
BICDL1
HTR4
TMEM164
LIMK2
ATP7B
THYN1
PRPH2
MATN2
C10orf143
ZNF268
POLR3G
LPL
NLGN4X
C14orf93
PDE7B
ZBTB18
CTPS1
NELL1
FAM89B
GABRG1
ATF7IP2
MGP
CFAP53
SLC25A20
FAM155B
EBAG9
EXOG
MYT1
AUTS2
SPTB
GPR27
KCNH4
HSPA14
ZNF677
THSD7A
ATP9B
PDIA5
FAM19A2
DSN1
MYLK4
CDR2
COP1
PTPN9
DNAH9
C15orf41
OLA1
PLOD2
PDZD2
GRK5
CNOT1
PIP5K1B
ALKBH4
DTX3L
LINGO3
DUSP5P1
NR1D1
HILS1
SMG7
LZTS1
RAD1
LOC399815
KIAA1324
CMTR2
PGAP2
SVBP
LOC100132356
MAPKAP1
LRCH2
TBC1D8B
ST7
HHEX
GSTM5
SRF
CCZ1P-OR7E38P
RNF24
FAM182B
ESPNL
MLIP
STRIP2
ADRB1
KIRREL3
TYRO3
BARD1
ZBTB8A
ZNF142
ZNF689
PDGFD
OBSCN
POU2F2
TRIM54
CCM2L
PXDN
GPD1L
PPP1R3E
MACROD2
FAM110B
ILK
LEMD2
TMEM177
STIM2
TMUB2
OSBPL10
CCNO
C2
SYN3
CYP4X1
WDHD1
IDH3A
PCDHB14
CAPN15
SAMD14
RCN1
EPB41L5
CCDC50
OLFM2
STX6
RGS12
TADA2B
HMGB3
RAPGEFL1
RHCE
VPS25
ROBO1
PLA2G5
RAD52
PLK5
EZH2
MRPS10
DDX31
ZWINT
C1orf53
CHMP1B
MLF2
PRR3
SMIM19
HOOK1
ZNF541
SAMD9
NPAS2
MTHFD1L
WDR82
PALMD
GRK2
ARHGEF19
RBM11
NYAP2
ZNF224
SPIRE2
TMOD1
CCDC66
TENM2
DUSP8
SIGLEC11
CNTNAP5
EARS2
PRR16
CYP4Z1
MYO5C
UTP14A
SNCG
LARP1B
ZNF471
MINK1
