genes
ABCF2
ABTB1
ACAD11
ACADL
ACVRL1
ADIPOR1
AGA
AGMAT
AMZ1
ANAPC7
ANKRD34A
AP2A1
ARF3
ARHGEF19
ARVCF
ASRGL1
ATF5
ATL3
ATP6V1G2
BACH2
BAIAP2L2
BCCIP
BCL11B
BLM
BLOC1S3
BRF2
BTG1
C1orf53
C2orf40
C4orf47
C6orf47
C9orf16
C9orf24
CACNB3
CACNG3
CAMK1D
CCDC177
CCDC50
CCNH
CD44
CDAN1
CDC42EP1
CDH11
CDH13
CDKL2
CEBPD
CERCAM
CHMP7
CHRM1
CHST10
CNTNAP5
COL5A1
COLCA1
CORO1B
COTL1
COX19
CRHBP
CRIP1
CTPS1
CUX1
CYP4X1
DACT2
DBP
DDX10
DEGS1
DGKA
DHODH
DIAPH1
DMRT2
DNAH9
DNAJC21
DSN1
DTNB
DUSP14
DUSP2
DYNLL1
EBAG9
EDN3
EFHD1
EIF4G1
ELMOD1
ELOVL1
EML2
EPHB6
EZH2
FAM110A
FAM19A2
FAM3C
FAM89B
FBXL18
FBXO16
FBXO34
FES
FEZ1
FILIP1L
FKRP
FLNC
FOLH1
FOXS1
FRAT2
FUT10
FYN
FZD5
GDAP1L1
GLDN
GPR27
GPRIN2
GRB2
GRIA4
GRK4
GRM2
GSTO2
HARS2
HLA-F
HMGA1
HMGB2
HNRNPH3
HOOK1
HRH3
HS3ST2
HSPA1L
HSPB11
HSPB6
HTR1A
HTR4
HVCN1
ICA1
IER2
IFNGR2
IL17RA
IMPDH1
INPP4A
IRF2BP1
KBTBD6
KCTD11
KIAA0513
KIAA0753
KIAA1257
KIAA1324
KIF16B
KIF3B
KIFAP3
LAMP5
LAP3
LEMD2
LGALS1
LHX8
LINGO2
LINGO3
LIPA
MACROD2
MAF
MAG
MALL
MAPKAP1
MCM3
MEF2A
MET
MLXIPL
MMP15
MPPED1
MRPL49
MRPS24
MTMR10
MTSS1L
MYO15B
MYT1
NAPG
NCOA3
NDFIP2
NEAT1
NELL1
NEU1
NEUROD1
NKG7
NKX2-2
NPR3
NQO1
NR2F1
NR4A3
NSUN6
NT5C2
NTRK3
NUMB
PAGR1
PAICS
PAM
PANX1
PARVB
PAX8
PDE9A
PDGFRA
PDK1
PDK2
PITPNC1
PKNOX2
PLAUR
PLEKHB2
PLEKHF1
PLEKHG3
PLXNC1
PMP22
PMPCB
POLN
POLR3A
POU2F2
PPARA
PPP1R12A
PPP1R18
PPP1R3E
PRKCQ
PRKRA
PRMT7
PRPF3
PRR3
PRRT2
PRRX1
PSD
PSEN2
PTPN9
PXDN
RAB6A
RAD1
RASL12
RASSF1
RASSF5
RBM23
REV3L
RFTN1
RGS22
RIMS4
RNH1
ROBO1
ROBO3
RPL39L
RPS6KA2
RREB1
RSBN1
SAMD14
SCRIB
SERPINI1
SFXN3
SLC16A14
SLC16A3
SLC16A5
SLC25A20
SLC25A37
SLC29A3
SLC35F1
SLFN5
SMAP1
SMIM19
SNPH
SNX7
SPHKAP
SPRY4
SRC
SRF
ST3GAL1
ST7
STARD10
STIM1
STK38L
STX2
STX6
SUSD4
SYNE2
SYT9
TBC1D16
TFEB
TGFBR3
TIMP4
TIPARP
TMEM125
TMEM132E
TMEM177
TMEM70
TMOD1
TOR2A
TP53I3
TRIM41
TSHZ1
TSPAN33
TUBA1B
TUBB4A
TUBB6
TUSC2
UBTD2
ULK1
USP18
USP20
VPS11
VWCE
WDR82
WNT2B
WNT7A
YIPF1
YPEL1
YWHAG
YWHAZ
ZBBX
ZBED3
ZBTB18
ZCCHC6
ZFHX2
ZIC1
ZNF224
ZNF266
ZNF362
ZNF425
ZNF436
ZNF471
ZNF502
ZNF780A
ZNF845
ZZZ3
